Address,Port,Response Time(ms)
104.19.207.39,443,155.97
104.19.192.236,8443,155.97
104.19.202.206,443,155.97
104.19.195.40,2053,155.97
104.19.203.142,8443,155.97
104.19.204.168,2053,155.98
104.19.203.166,2083,155.98
104.19.205.237,2087,155.98
104.19.198.153,2053,155.98
104.19.199.170,2087,155.98
104.19.204.115,2096,155.98
104.19.197.214,2096,155.98
104.19.198.81,2087,155.99
104.19.203.76,443,155.99
104.19.198.169,443,155.99
104.19.194.231,2053,156.00
104.19.198.133,2096,156.00
104.19.192.237,2053,156.00
104.19.193.120,2096,156.01
104.19.207.139,2083,156.01
104.19.193.169,2053,156.01
104.19.196.107,2096,156.02
104.19.206.79,8443,156.02
104.19.196.195,2083,156.02
104.19.200.223,2087,156.03
104.19.197.168,8443,156.03
104.19.193.92,443,156.03
104.19.192.247,2053,156.04
104.19.201.63,2087,156.04
104.19.202.240,2087,156.05
104.19.206.57,8443,156.05
104.19.203.51,2083,156.05
104.19.197.47,2083,156.06
104.19.196.11,2083,156.06
104.19.203.234,8443,156.06
104.19.198.235,2053,156.06
104.19.193.101,2096,156.07
104.19.197.86,2096,156.07
104.19.206.63,8443,156.07
104.19.204.233,2053,156.07
104.19.207.155,2053,156.08
104.19.197.184,2087,156.08
104.19.203.186,2053,156.08
104.19.197.113,2083,156.08
104.19.203.2,2096,156.08
104.19.204.63,8443,156.08
104.19.195.192,443,156.09
104.19.195.121,2053,156.09
104.19.202.137,8443,156.09
104.19.195.133,2083,156.10
104.19.202.139,2053,156.10
104.19.195.68,2083,156.10
104.19.192.130,2083,156.10
104.19.206.67,8443,156.10
104.19.194.130,2053,156.11
104.19.204.134,2053,156.11
104.19.193.127,2096,156.11
104.19.203.67,2087,156.11
104.19.192.36,443,156.11
104.19.202.62,8443,156.12
104.19.202.149,2087,156.12
104.19.203.133,8443,156.12
104.19.198.162,443,156.13
104.19.203.100,8443,156.14
104.19.204.251,2087,156.14
104.19.193.137,2053,156.14
104.19.194.52,443,156.14
104.19.198.237,443,156.15
104.19.201.224,2087,156.15
104.19.206.10,8443,156.15
104.19.192.195,2087,156.15
104.19.198.151,2087,156.16
104.19.200.13,2096,156.16
104.19.205.195,2083,156.16
104.19.203.215,2083,156.16
104.19.195.145,443,156.16
104.19.206.69,2083,156.16
104.19.194.199,2083,156.17
104.19.202.0,443,156.17
104.19.204.186,2096,156.17
104.19.204.84,2053,156.18
104.19.207.253,443,156.18
104.19.193.159,443,156.19
104.19.195.200,2087,156.19
104.19.197.181,443,156.19
104.19.201.239,8443,156.19
104.19.196.99,2087,156.19
104.19.204.172,2053,156.19
104.19.199.120,8443,156.20
104.19.200.167,2053,156.21
104.19.198.216,443,156.21
104.19.196.170,2087,156.21
104.19.200.143,2096,156.21
104.19.194.65,8443,156.21
104.19.202.61,2053,156.22
104.19.201.171,443,156.22
104.19.196.44,2053,156.22
104.19.206.189,2087,156.23
104.19.193.227,8443,156.23
104.19.205.170,2053,156.23
104.19.197.25,2087,156.23
104.19.199.242,2083,156.24
104.19.199.73,8443,156.24
104.19.200.78,2087,156.24
104.19.195.10,2083,156.24
104.19.207.249,8443,156.24
104.19.192.40,2087,156.24
104.19.203.226,2083,156.25
104.19.199.219,2053,156.25
104.19.197.16,8443,156.25
104.19.201.192,2087,156.25
104.19.203.9,2096,156.26
104.19.202.107,443,156.27
104.19.204.24,443,156.27
104.19.203.107,2096,156.27
104.19.196.179,2087,156.27
104.19.201.234,2096,156.27
104.19.202.113,2053,156.28
104.19.204.191,443,156.28
104.19.202.1,2053,156.28
104.19.197.78,2087,156.28
104.19.196.60,2053,156.29
104.19.193.55,2083,156.29
104.19.201.9,2087,156.29
104.19.198.186,2083,156.30
104.19.200.248,2096,156.30
104.19.198.221,443,156.31
104.19.199.168,2087,156.31
104.19.194.227,2053,156.31
104.19.202.99,2053,156.31
104.19.200.103,443,156.31
104.19.200.235,2087,156.31
104.19.201.130,2083,156.31
104.19.203.19,2087,156.32
104.19.199.108,8443,156.32
104.19.201.209,2053,156.32
104.19.206.120,2083,156.32
104.19.195.113,2053,156.32
104.19.206.191,2083,156.32
104.19.196.203,2083,156.32
104.19.193.45,2087,156.32
104.19.192.107,443,156.32
104.19.196.197,8443,156.33
104.19.198.219,443,156.33
104.19.193.25,443,156.33
104.19.195.217,2096,156.33
104.19.196.250,2053,156.33
104.19.197.145,8443,156.33
104.19.202.35,2053,156.33
104.19.203.110,8443,156.33
104.19.198.109,443,156.33
104.19.195.20,2096,156.34
104.19.198.24,443,156.35
104.19.195.21,2053,156.35
104.19.206.25,2087,156.35
104.19.199.235,8443,156.35
104.19.193.144,2087,156.35
104.19.207.236,2096,156.36
104.19.202.233,2087,156.36
104.19.203.189,2087,156.36
104.19.197.159,443,156.37
104.19.203.55,8443,156.37
104.19.198.218,8443,156.38
104.19.193.191,2053,156.38
104.19.206.84,8443,156.39
104.19.206.48,2096,156.39
104.19.201.104,8443,156.39
104.19.202.84,2053,156.39
104.19.204.194,2053,156.39
104.19.195.216,2096,156.40
104.19.204.82,443,156.40
104.19.194.57,2053,156.40
104.19.205.138,2083,156.40
104.19.200.18,2096,156.40
104.19.194.29,2053,156.40
104.19.192.170,8443,156.41
104.19.200.213,2087,156.41
104.19.205.159,8443,156.41
104.19.201.162,2087,156.41
104.19.203.102,8443,156.41
104.19.193.186,2096,156.41
104.19.198.213,443,156.42
104.19.199.142,443,156.42
104.19.205.210,2053,156.42
104.19.201.151,8443,156.42
104.19.203.174,443,156.42
104.19.194.203,2053,156.43
104.19.202.102,8443,156.43
104.19.193.171,8443,156.43
104.19.201.25,443,156.43
104.19.205.97,2087,156.43
104.19.198.231,443,156.43
104.19.207.226,443,156.43
104.19.194.106,2083,156.43
104.19.195.164,2053,156.43
104.19.196.203,443,156.43
104.19.197.113,2096,156.43
104.19.204.193,2087,156.44
104.19.200.133,2083,156.44
104.19.201.111,443,156.44
104.19.195.5,2096,156.44
104.19.193.5,2087,156.45
104.19.202.225,443,156.45
104.19.204.181,2083,156.45
